File Name,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8,Notes,
CAMHDA301-20151204T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151204T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151204T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151204T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151204T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151204T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T000000Z,00:01:05,00:01:41,00:02:59,,00:06:08,00:07:39,00:10:31,00:12:03,,
CAMHDA301-20151209T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151209T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151213T120000Z,00:01:02,00:01:39,00:02:57,,00:06:06,00:07:37,00:10:30,00:12:04,,
CAMHDA301-20151213T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151213T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151213T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T000000Z,00:01:04,00:01:40,00:02:59,,00:06:06,00:07:37,00:10:28,00:12:00,"At 5:50 a redish object floated across the screen, possibly a shrimp",
CAMHDA301-20151214T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151214T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T000000Z,00:01:03,00:01:40,00:03:00,,00:06:07,00:07:39,00:10:28,00:12:02,,
CAMHDA301-20151215T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151215T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151216T000000Z,00:57:00,00:01:34,00:02:54,,00:06:02,00:07:32,00:10:21,00:11:55,At 10:10 a shrimp? floated across the screen. The vent flow is moving perfectly vertically... no current pushing it across the vent. Not that interesting you just usually don't see that.,
CAMHDA301-20151216T030000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151216T060000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151216T090000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151216T120000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151216T150000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151216T180000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151216T210000Z,00:01:04,00:01:40,00:02:55,,,,,,,
CAMHDA301-20151217T000000Z,00:01:00,00:01:36,00:02:56,,00:06:05,00:07:35,00:10:28,00:12:01,,
CAMHDA301-20151217T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151217T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151217T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151217T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151217T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151217T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151217T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151218T000000Z,00:01:01,00:01:38,00:02:57,,00:06:05,00:07:36,00:10:26,00:12:00,,
CAMHDA301-20151218T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151218T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151218T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151218T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151218T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
